RESUMEN DE DATOS OBTENIDOS PARA LA VARIABLE "VALOR AGREGADO BRUTO (VAB) POR SECTOR"
CIUDAD,AÑO,DATO
IBARRA,2007,{"agricultura; ganaderia; silvicultura y pesca":22412.04;"explotacion de minas y canteras":731.5;"manufactura":30666.2;"suministro de electricidad y de agua":5224;"construccion":62448.11;"comercio":87339.3;"alojamiento y servicios de comida":18342.6;"transporte; informacion y comunicaciones":49052.29;"actividades financieras":19883.37;"actividades profesionales e inmobiliarias":75082.18;"administracion publica":50850.86;"ensenanza":35167.95;"salud":17759.72;"otros servicios":6950.86}
IBARRA,2008,{"agricultura; ganaderia; silvicultura y pesca":27876.37;"explotacion de minas y canteras":902.7;"manufactura":32416.14;"suministro de electricidad y de agua":5519.49;"construccion":65438.1;"comercio":112629.64;"alojamiento y servicios de comida":20824.67;"transporte; informacion y comunicaciones":60344.9;"actividades financieras":20861.71;"actividades profesionales e inmobiliarias":75909.01;"administracion publica":60171.01;"ensenanza":37067.07;"salud":20663.76;"otros servicios":7796.49}
IBARRA,2009,{"agricultura; ganaderia; silvicultura y pesca":24873.79;"explotacion de minas y canteras":1070.42;"manufactura":31779.98;"suministro de electricidad y de agua":4942.22;"construccion":109157.29;"comercio":104168.47;"alojamiento y servicios de comida":28330.68;"transporte; informacion y comunicaciones":70892.26;"actividades financieras":24936.53;"actividades profesionales e inmobiliarias":75863.96;"administracion publica":76296.42;"ensenanza":44581.24;"salud":25785.41;"otros servicios":8426.64}
IBARRA,2010,{"agricultura; ganaderia; silvicultura y pesca":27177.56;"explotacion de minas y canteras":901.54;"manufactura":54684.53;"suministro de electricidad y de agua":7143.9;"construccion":151949.09;"comercio":128214.77;"alojamiento y servicios de comida":32585.81;"transporte; informacion y comunicaciones":82878.22;"actividades financieras":26272.53;"actividades profesionales e inmobiliarias":76842.43;"administracion publica":77611.77;"ensenanza":46326.14;"salud":34679.49;"otros servicios":9087.9}
IBARRA,2011,{"agricultura; ganaderia; silvicultura y pesca":17554.33;"explotacion de minas y canteras":1251.78;"manufactura":61319.98;"suministro de electricidad y de agua":9476.25;"construccion":161968.04;"comercio":173217.72;"alojamiento y servicios de comida":33478.85;"transporte; informacion y comunicaciones":117938.09;"actividades financieras":28150.74;"actividades profesionales e inmobiliarias":87807.9;"administracion publica":88561.95;"ensenanza":49229.97;"salud":45540.9;"otros servicios":9209.29}
IBARRA,2012,{"agricultura; ganaderia; silvicultura y pesca":20616.68;"explotacion de minas y canteras":1511.94;"manufactura":45545.94;"suministro de electricidad y de agua":9392.26;"construccion":257129.42;"comercio":200321.69;"alojamiento y servicios de comida":36963.35;"transporte; informacion y comunicaciones":99262.35;"actividades financieras":31608.6;"actividades profesionales e inmobiliarias":122568.53;"administracion publica":59001.01;"ensenanza":56898.61;"salud":54256.19;"otros servicios":11161.68}
IBARRA,2013,{"agricultura; ganaderia; silvicultura y pesca":23264.89;"explotacion de minas y canteras":683.5;"manufactura":49832.08;"suministro de electricidad y de agua":8662.67;"construccion":236988.39;"comercio":198535.97;"alojamiento y servicios de comida":41967.92;"transporte; informacion y comunicaciones":103421.32;"actividades financieras":31304.34;"actividades profesionales e inmobiliarias":113999.3;"administracion publica":75129.04;"ensenanza":60487.11;"salud":64157.44;"otros servicios":11566.53}
IBARRA,2014,{"agricultura; ganaderia; silvicultura y pesca":29044.82;"explotacion de minas y canteras":536.53;"manufactura":65710.09;"suministro de electricidad y de agua":12411.06;"construccion":262101.82;"comercio":215364.47;"alojamiento y servicios de comida":45812.52;"transporte; informacion y comunicaciones":123571.14;"actividades financieras":40497.31;"actividades profesionales e inmobiliarias":139502.1;"administracion publica":79655.2;"ensenanza":59634.35;"salud":63709.64;"otros servicios":13250.44}
IBARRA,2015,{"agricultura; ganaderia; silvicultura y pesca":38692.65;"explotacion de minas y canteras":542.22;"manufactura":76750.68;"suministro de electricidad y de agua":11768.46;"construccion":256941.68;"comercio":185246.89;"alojamiento y servicios de comida":37497.28;"transporte; informacion y comunicaciones":127497.41;"actividades financieras":40260.97;"actividades profesionales e inmobiliarias":145306.78;"administracion publica":55314.37;"ensenanza":67992.62;"salud":72514.76;"otros servicios":15597.54}
IBARRA,2016,{"agricultura; ganaderia; silvicultura y pesca":29910.13;"explotacion de minas y canteras":908.96;"manufactura":70273.95;"suministro de electricidad y de agua":13334;"construccion":231679.08;"comercio":176155.79;"alojamiento y servicios de comida":33214.29;"transporte; informacion y comunicaciones":136949.71;"actividades financieras":37064.46;"actividades profesionales e inmobiliarias":113092.53;"administracion publica":50931.79;"ensenanza":70632.31;"salud":75074.73;"otros servicios":20303.05}
IBARRA,2017,{"agricultura; ganaderia; silvicultura y pesca":35605.02;"explotacion de minas y canteras":1213.62;"manufactura":60900.45;"suministro de electricidad y de agua":15942.66;"construccion":245477.98;"comercio":172708.31;"alojamiento y servicios de comida":24159.62;"transporte; informacion y comunicaciones":146071.9;"actividades financieras":46819.54;"actividades profesionales e inmobiliarias":150296.39;"administracion publica":38126.93;"ensenanza":75036.31;"salud":78083.53;"otros servicios":25623.78}
MANTA,2007,{"agricultura; ganaderia; silvicultura y pesca":105306.46;"explotacion de minas y canteras":1.02;"manufactura":199101.97;"suministro de electricidad y de agua":5651.95;"construccion":74730.1;"comercio":95946.18;"alojamiento y servicios de comida":10475.11;"transporte; informacion y comunicaciones":30199.8;"actividades financieras":10505.48;"actividades profesionales e inmobiliarias":114548.56;"administracion publica":34899.64;"ensenanza":38818.91;"salud":22706.32;"otros servicios":8914.77}
MANTA,2008,{"agricultura; ganaderia; silvicultura y pesca":127308.37;"explotacion de minas y canteras":0.8;"manufactura":271651.5;"suministro de electricidad y de agua":6435.45;"construccion":109549.58;"comercio":124802.31;"alojamiento y servicios de comida":13081.9;"transporte; informacion y comunicaciones":40812.87;"actividades financieras":12314.82;"actividades profesionales e inmobiliarias":92133.82;"administracion publica":49661.98;"ensenanza":47279.14;"salud":26837.11;"otros servicios":13159.87}
MANTA,2009,{"agricultura; ganaderia; silvicultura y pesca":93816.6;"explotacion de minas y canteras":1.04;"manufactura":210176.33;"suministro de electricidad y de agua":5894.16;"construccion":90434.08;"comercio":119280.04;"alojamiento y servicios de comida":14677.93;"transporte; informacion y comunicaciones":48557.66;"actividades financieras":15572.26;"actividades profesionales e inmobiliarias":85504.58;"administracion publica":63087.18;"ensenanza":57248.24;"salud":37023.55;"otros servicios":10478.22}
MANTA,2010,{"agricultura; ganaderia; silvicultura y pesca":102878.68;"explotacion de minas y canteras":1.24;"manufactura":204692.09;"suministro de electricidad y de agua":9534.15;"construccion":104567.26;"comercio":180821.03;"alojamiento y servicios de comida":17463.22;"transporte; informacion y comunicaciones":53725.46;"actividades financieras":21168.96;"actividades profesionales e inmobiliarias":103913.11;"administracion publica":64136.79;"ensenanza":63528.33;"salud":47217.67;"otros servicios":12028.34}
MANTA,2011,{"agricultura; ganaderia; silvicultura y pesca":108363.88;"explotacion de minas y canteras":20.8;"manufactura":223021.76;"suministro de electricidad y de agua":9206.95;"construccion":178179.38;"comercio":278352.39;"alojamiento y servicios de comida":26407.73;"transporte; informacion y comunicaciones":130164.1;"actividades financieras":23411.31;"actividades profesionales e inmobiliarias":123511.11;"administracion publica":76862.85;"ensenanza":62557.52;"salud":49932.09;"otros servicios":18793.88}
